title,text,url,source,category,published_at,preprocessed_text,sentiment_neg,sentiment_pos,sentiment_neutral,sentiment,sentiment_group,ORG_entities,GPE_entities
Atlas Lithium: The $20 Million Non-Diluted Funding Is Ignored,Atlas Lithium: The $20 Million Non-Diluted Funding Is Ignored,https://seekingalpha.com/article/4610185-atlas-lithium-stock-20-million-non-diluted-funding-ignored?source=feed_all_articles,Seeking Alpha,general,2023-06-08T06:36:52+00:00,"['atlas', 'lithium', '20', 'million', 'nondiluted', 'funding', 'ignored']",0.277,0.0,0.723,-0.3182,Negative,[],[]
Option For Strategic Acquisition Expands Adina Project To 44km2,"Lithium exploration and development company Winsome Resources (ASX:WR1; “Winsome” or “the Company”) is pleased to announce that it has entered into an Option Agreement (“the Option”) to increase the size of its flagship Adina project by 50% by acquiring the strategic Jackpot Property, located immediately to the north of the existing claim area. HIGHLIGHTS Option Agreement signed that, subject to the satisfaction of conditions, grants Winsome the option to acquire Jackpot Property, located immediately north of Winsome’s Adina Project to increase Adina project area by 50%.Winsome’...",https://investingnews.com.au/option-for-strategic-acquisition-expands-adina-project-to-44km2,resourceinvestingnews,general,2023-06-08T03:37:22+00:00,"['thium', 'exploration', 'development', 'company', 'winsome', 'resource', 'asxwr1', '“', 'winsome', '”', '“', 'company', '”', 'pleased', 'announce', 'entered', 'option', 'agreement', '“', 'option', '”', 'increase', 'size', 'flagship', 'adina', 'project', '50', 'acquiring', 'strategic', 'jackpot', 'property', 'located', 'immediately', 'north', 'existing', 'claim', 'area', 'highlight', 'option', 'agreement', 'signed', 'subject', 'satisfaction', 'condition', 'grant', 'winsome', 'option', 'acquire', 'jackpot', 'property', 'located', 'immediately', 'north', 'winsome', '’', 'adina', 'project', 'increase', 'adina', 'project', 'area', '50winsome', '’']",0.0,0.357,0.643,0.9682,Positive,[],"['adina', 'adina']"
"Mapping Identifies New Pegmatite Outcrops, Up To 100m In Strike Length Across Eastern Goldfields Project Areas","Forrestania Resources Limited (ASX:FRS) (Forrestania or the Company), is pleased to provide an update on activities at its Eastern Goldfields project area located north of Coolgardie and north of Kalgoorlie, around the gold mining districts of Leonora, Coolgardie and Menzies (see figure 1). The Eastern Goldfields project area comprises eighteen tenements (eight ELs and ten EL applications) that are strategically located over areas that the Company believes are highly prospective for multi-commodities, particularly lithium, gold, REE and copper. Highlights: Fieldwork underway on highly...",https://investingnews.com.au/mapping-identifies-new-pegmatite-outcrops-up-to-100m-in-strike-length-across-eastern-goldfields-project-areas,goldinvestingnews,general,2023-06-08T00:00:43+00:00,"['forrestania', 'resource', 'limited', 'asxfrs', 'forrestania', 'company', 'pleased', 'provide', 'update', 'activity', 'eastern', 'goldfield', 'project', 'area', 'located', 'north', 'coolgardie', 'north', 'kalgoorlie', 'around', 'gold', 'mining', 'district', 'leonora', 'coolgardie', 'menzies', 'see', 'figure', '1', 'eastern', 'goldfield', 'project', 'area', 'comprises', 'eighteen', 'tenement', 'eight', 'el', 'ten', 'el', 'application', 'strategically', 'located', 'area', 'company', 'belief', 'highly', 'prospective', 'multicommodities', 'particularly', 'lithium', 'gold', 'ree', 'copper', 'highlight', 'fieldwork', 'underway', 'highly']",0.031,0.087,0.882,0.5267,Positive,['el application'],[]
UK mining firm Marula casts net wider in Zim,"Oliver Kazunga Senior Business Reporter UNITED Kingdom-based mining group, Marula Mining, has expanded its target areas of interest in Zimbabwe to copper mining, as it searches for attractive near-term mining opportunities in the country. The group is already working on plans to establish a value-added lithium operation in Bikita, Masvingo Province through its local subsidiary, Muchai [&#8230;]",https://www.herald.co.zw/uk-mining-firm-marula-casts-net-wider-in-zim/,Herald,general,2023-06-07T22:20:19+00:00,"['oliver', 'kazunga', 'senior', 'business', 'reporter', 'united', 'kingdombased', 'mining', 'group', 'marula', 'mining', 'expanded', 'target', 'area', 'interest', 'zimbabwe', 'copper', 'mining', 'search', 'attractive', 'nearterm', 'mining', 'opportunity', 'country', 'group', 'already', 'working', 'plan', 'establish', 'valueadded', 'lithium', 'operation', 'bikita', 'masvingo', 'province', 'local', 'subsidiary', 'muchai', '8230']",0.0,0.247,0.753,0.8885,Positive,[],[]
Technology Minerals highlights positive update from GBML,"(marketscreener.com) Technology Minerals PLC - London-based junior mining company, with a portfolio of battery metal projects focused on cobalt, lithium, copper, nickel, and manganese - Notes that Global Battery Metals Ltd has today announced an update on progress of the drilling campaign at Leinster Project in Ireland. The company's Leinster Property exploration...https://www.marketscreener.com/quote/stock/TECHNOLOGY-MINERALS-PLC-129457850/news/Technology-Minerals-highlights-positive-update-from-GBML-44063237/?utm_medium=RSS&utm_content=20230607",https://www.marketscreener.com/quote/stock/TECHNOLOGY-MINERALS-PLC-129457850/news/Technology-Minerals-highlights-positive-update-from-GBML-44063237/?utm_medium=RSS&utm_content=20230607,4-traders,general,2023-06-07T15:54:07+00:00,"['marketscreenercom', 'technology', 'mineral', 'plc', 'londonbased', 'junior', 'mining', 'company', 'portfolio', 'battery', 'metal', 'project', 'focused', 'cobalt', 'lithium', 'copper', 'nickel', 'manganese', 'note', 'global', 'battery', 'metal', 'ltd', 'today', 'announced', 'update', 'progress', 'drilling', 'campaign', 'leinster', 'project', 'ireland', 'company', 'leinster', 'property', 'exploratio']",0.0,0.137,0.863,0.6597,Positive,['marketscreenercom technology mineral plc'],[]
"Bronstein, Gewirtz & Grossman, LLC Notifies Atlas Lithium Corp. (ATLX) Investors of Class Action","(marketscreener.com) Attorney Advertising--Bronstein, Gewirtz &amp; Grossman, LLC notifies investors that a class action lawsuit has been filed against Atlas Lithium Corp. and certain of its officers, on behalf of all persons and entities that purchased or otherwise acquired Atlas Lithium securities between March 25, 2022 and May 3, 2023, . Such investors are...https://www.marketscreener.com/quote/stock/ATLAS-LITHIUM-CORPORATION-120795033/news/Bronstein-Gewirtz-Grossman-LLC-Notifies-Atlas-Lithium-Corp-ATLX-Investors-of-Class-Action-44062895/?utm_medium=RSS&utm_content=20230607",https://www.marketscreener.com/quote/stock/ATLAS-LITHIUM-CORPORATION-120795033/news/Bronstein-Gewirtz-Grossman-LLC-Notifies-Atlas-Lithium-Corp-ATLX-Investors-of-Class-Action-44062895/?utm_medium=RSS&utm_content=20230607,4-traders,general,2023-06-07T15:02:02+00:00,"['marketscreenercom', 'attorney', 'advertisingbronstein', 'gewirtz', 'amp', 'grossman', 'llc', 'notifies', 'investor', 'class', 'action', 'lawsuit', 'filed', 'atlas', 'lithium', 'corp', 'certain', 'officer', 'behalf', 'person', 'entity', 'purchased', 'otherwise', 'acquired', 'atlas', 'lithium', 'security', 'march', '25', '2022', 'may', '3', '2023', 'investor']",0.052,0.124,0.824,0.3818,Positive,['atlas lithium corp certain'],[]
Scientists discover that water molecules define the materials around us,"For decades, the fields of physics and chemistry have maintained that the atoms and molecules that make up the natural world define the character of solid matter. Salt crystals get their crystalline quality from the ionic bond between sodium and chloride ions, metals like iron or copper get their strength from the metallic bonds between iron or copper atoms, and rubbers get their stretchiness from the flexible bonds within polymers that constitute the rubber. The same principle applies for materials like fungi, bacteria, and wood.",https://phys.org/news/2023-06-scientists-molecules-materials.html,physorg,general,2023-06-07T15:00:13+00:00,"['decade', 'field', 'physic', 'chemistry', 'maintained', 'atom', 'molecule', 'make', 'natural', 'world', 'define', 'character', 'solid', 'matter', 'salt', 'crystal', 'get', 'crystalline', 'quality', 'ionic', 'bond', 'sodium', 'chloride', 'ion', 'metal', 'like', 'iron', 'copper', 'get', 'strength', 'metallic', 'bond', 'iron', 'copper', 'atom', 'rubber', 'get', 'stretchiness', 'flexible', 'bond', 'within', 'polymer', 'constitute', 'rubber', 'principle', 'applies', 'material', 'like', 'fungi', 'bacteria', 'wood']",0.0,0.258,0.742,0.9062,Positive,[],[]
Hertz Lithium Inc. Provides Update on Exploration of The Lucky Mica Project and Sympathizes with James Bay Lithium Exploration Halt,"(marketscreener.com) Hertz Lithium Inc. , a Company focused on lithium exploration and novel extraction technologies, is pleased to provide an update on the field exploration activities that commenced on May 2, 2023, at its Lucky Mica Property in Maricopa County in Arizona, USA.To date the field team has completed general prospecting, mapping and sampling of...https://www.marketscreener.com/quote/stock/HERTZ-LITHIUM-INC-153144260/news/Hertz-Lithium-Inc-Provides-Update-on-Exploration-of-The-Lucky-Mica-Project-and-Sympathizes-with-Jam-44062556/?utm_medium=RSS&utm_content=20230607",https://www.marketscreener.com/quote/stock/HERTZ-LITHIUM-INC-153144260/news/Hertz-Lithium-Inc-Provides-Update-on-Exploration-of-The-Lucky-Mica-Project-and-Sympathizes-with-Jam-44062556/?utm_medium=RSS&utm_content=20230607,4-traders,general,2023-06-07T14:20:01+00:00,"['marketscreenercom', 'hertz', 'lithium', 'inc', 'company', 'focused', 'lithium', 'exploration', 'novel', 'extraction', 'technology', 'pleased', 'provide', 'update', 'field', 'exploration', 'activity', 'commenced', 'may', '2', '2023', 'lucky', 'mica', 'property', 'maricopa', 'county', 'arizona', 'usato', 'date', 'field', 'team', 'completed', 'general', 'prospecting', 'mapping', 'sampling']",0.0,0.332,0.668,0.9081,Positive,['marketscreenercom hertz lithium inc company'],"['mica', 'arizona']"
Law Offices of Howard G. Smith Announces Investigation of Atlas Lithium Corporation (ATLX) on Behalf of Investors,"(marketscreener.com) Law Offices of Howard G. Smith announces an investigation on behalf of Atlas Lithium Corporation investors concerning the Company&rsquo;s possible violations of federal securities laws.On May 4, 2023, Bleecker Street Research published a report alleging, among other things, that Atlas Lithium &ldquo;resembles many of the characteristics of a...https://www.marketscreener.com/quote/stock/ATLAS-LITHIUM-CORPORATION-120795033/news/Law-Offices-of-Howard-G-Smith-Announces-Investigation-of-Atlas-Lithium-Corporation-ATLX-on-Behalf-44062411/?utm_medium=RSS&utm_content=20230607",https://www.marketscreener.com/quote/stock/ATLAS-LITHIUM-CORPORATION-120795033/news/Law-Offices-of-Howard-G-Smith-Announces-Investigation-of-Atlas-Lithium-Corporation-ATLX-on-Behalf-44062411/?utm_medium=RSS&utm_content=20230607,4-traders,general,2023-06-07T14:02:02+00:00,"['marketscreenercom', 'law', 'office', 'howard', 'g', 'smith', 'announces', 'investigation', 'behalf', 'atlas', 'lithium', 'corporation', 'investor', 'concerning', 'companyrsquos', 'possible', 'violation', 'federal', 'security', 'lawson', 'may', '4', '2023', 'bleecker', 'street', 'research', 'published', 'report', 'alleging', 'among', 'thing', 'atlas', 'lithium', 'ldquoresembles', 'many', 'characteristic']",0.085,0.064,0.851,-0.2023,Negative,[],[]
Barrel Enters Agreement for Titan X Lithium Project in Tanzania,"(marketscreener.com) Las Vegas, NV, June 07, 2023 -- Barrel Energy Inc., is pleased to announce it has signed an agreement with Kokanee Placer Two to acquire the &ldquo;Titan X Lithium Project&rdquo; in Tanzania. The new Titan X Lithium Project is located in northeastern Tanzania, a country rich in mineral wealth and active in the EV battery-material supply...https://www.marketscreener.com/quote/stock/BARREL-ENERGY-INC-120796623/news/Barrel-Enters-Agreement-for-Titan-X-Lithium-Project-in-Tanzania-44062366/?utm_medium=RSS&utm_content=20230607",https://www.marketscreener.com/quote/stock/BARREL-ENERGY-INC-120796623/news/Barrel-Enters-Agreement-for-Titan-X-Lithium-Project-in-Tanzania-44062366/?utm_medium=RSS&utm_content=20230607,4-traders,general,2023-06-07T14:01:02+00:00,"['marketscreenercom', 'la', 'vega', 'nv', 'june', '07', '2023', 'barrel', 'energy', 'inc', 'pleased', 'announce', 'signed', 'agreement', 'kokanee', 'placer', 'two', 'acquire', 'ldquotitan', 'x', 'lithium', 'projectrdquo', 'tanzania', 'new', 'titan', 'x', 'lithium', 'project', 'located', 'northeastern', 'tanzania', 'country', 'rich', 'mineral', 'wealth', 'active', 'ev', 'batterymaterial', 'supply']",0.0,0.363,0.637,0.9493,Positive,['barrel energy inc'],['ldquotitan']
American Lithium Reaches Definitive Agreement to Spin Out Macusani Uranium Deposit into an Independent Public Company,"(marketscreener.com) VANCOUVER, British Columbia, June 07, 2023 -- American Lithium Corp. announces that it has entered into a definitive arrangement agreement with Friday&rsquo;s Dog Holdings Inc. , a public company currently listed on the TSX Venture Exchange and to be renamed International Uranium Corp. , dated June 6, 2023, pursuant to which it will transfer...https://www.marketscreener.com/quote/stock/AMERICAN-LITHIUM-CORP-37581206/news/American-Lithium-Reaches-Definitive-Agreement-to-Spin-Out-Macusani-Uranium-Deposit-into-an-Independe-44061977/?utm_medium=RSS&utm_content=20230607",https://www.marketscreener.com/quote/stock/AMERICAN-LITHIUM-CORP-37581206/news/American-Lithium-Reaches-Definitive-Agreement-to-Spin-Out-Macusani-Uranium-Deposit-into-an-Independe-44061977/?utm_medium=RSS&utm_content=20230607,4-traders,general,2023-06-07T13:16:01+00:00,"['marketscreenercom', 'vancouver', 'british', 'columbia', 'june', '07', '2023', 'american', 'lithium', 'corp', 'announces', 'entered', 'definitive', 'arrangement', 'agreement', 'fridayrsquos', 'dog', 'holding', 'inc', 'public', 'company', 'currently', 'listed', 'tsx', 'venture', 'exchange', 'renamed', 'international', 'uranium', 'corp', 'dated', 'june', '6', '2023', 'pursuant', 'transfer']",0.0,0.086,0.914,0.4939,Positive,"['american lithium corp announces', 'international uranium corp']",[]
Friday's Dog Holdings Announces Plan of Arrangement to Become Major Uranium Developer as American Lithium &ldquo;Spins Out&rdquo; Macusani Uranium,"(marketscreener.com) Brokered Financing for Gross Proceeds of $15,000,000 VANCOUVER, British Columbia, June 07, 2023 -- Friday&rsquo;s Dog Holdings Inc. is pleased to announce that management of the Company, after review and consultation with its advisors, has determined it is in the best interests of shareholders of the Company to complete a business...https://www.marketscreener.com/quote/stock/FRIDAY-S-DOG-HOLDINGS-INC-134558468/news/Friday-s-Dog-Holdings-Announces-Plan-of-Arrangement-to-Become-Major-Uranium-Developer-as-American-Li-44061978/?utm_medium=RSS&utm_content=20230607",https://www.marketscreener.com/quote/stock/FRIDAY-S-DOG-HOLDINGS-INC-134558468/news/Friday-s-Dog-Holdings-Announces-Plan-of-Arrangement-to-Become-Major-Uranium-Developer-as-American-Li-44061978/?utm_medium=RSS&utm_content=20230607,4-traders,general,2023-06-07T13:16:01+00:00,"['marketscreenercom', 'brokered', 'financing', 'gross', 'proceeds', '15000000', 'vancouver', 'british', 'columbia', 'june', '07', '2023', 'fridayrsquos', 'dog', 'holding', 'inc', 'pleased', 'announce', 'management', 'company', 'review', 'consultation', 'advisor', 'determined', 'best', 'interest', 'shareholder', 'company', 'complete', 'business']",0.076,0.308,0.616,0.8555,Positive,['dog holding inc'],['british columbia']
Mosaic Minerals Provides Exploration Update on James Bay Lithium Projects,"(marketscreener.com) MONTREAL, June 07, 2023 -- Mosaic Minerals Corporation announces that it has delayed all exploration activities at its James Bay lithium projects following an emergency fire evacuation order from the Ministry of Natural Resources and Forests. Due to the high-risk fire conditions present in the region, coupled with ongoing fires elsewhere in...https://www.marketscreener.com/quote/stock/MOSAIC-MINERALS-CORP-115248428/news/Mosaic-Minerals-Provides-Exploration-Update-on-James-Bay-Lithium-Projects-44061830/?utm_medium=RSS&utm_content=20230607",https://www.marketscreener.com/quote/stock/MOSAIC-MINERALS-CORP-115248428/news/Mosaic-Minerals-Provides-Exploration-Update-on-James-Bay-Lithium-Projects-44061830/?utm_medium=RSS&utm_content=20230607,4-traders,general,2023-06-07T13:05:01+00:00,"['marketscreenercom', 'montreal', 'june', '07', '2023', 'mosaic', 'mineral', 'corporation', 'announces', 'delayed', 'exploration', 'activity', 'james', 'bay', 'lithium', 'project', 'following', 'emergency', 'fire', 'evacuation', 'order', 'ministry', 'natural', 'resource', 'forest', 'due', 'highrisk', 'fire', 'condition', 'present', 'region', 'coupled', 'ongoing', 'fire', 'elsewhere']",0.265,0.1,0.635,-0.743,Negative,[],['montreal']
